,English,English_cleaned,Spanish,French,German
0,hi,hi,hola,salut,hallo
1,run,run,correr,Cours,Lauf
2,who,who,quién,qui,wer
3,wow,wow,guau,wow,Beeindruckend
4,fire,fire,fuego,Feu,Feuer
5,help,help,ayuda,aider,Hilfe
6,jump,jump,salto,saut,springen
7,stop,stop,deténgase,arrêt,Pause
8,wait,wait,Espere,Attendez,Warten
9,go on,go on,continuar,continue,mach weiter
10,hello,hello,Hola,bonjour,hallo
11,i see,i see,veo,je vois,Aha
12,i try,i try,lo intento,J'essaie,ich versuche
13,i won,i won,gané,J'ai gagné,ich habe gewonnen
14,oh no,oh no,Oh no,oh non,Ach nein
15,attack,attack,ataque,attaque,Attacke
16,cheers,cheers,salud,à votre santé,Prost
17,get up,get up,levantarse,se lever,steh auf
18,go now,go now,ve ahora,allez maintenant,geh jetzt
19,got it,got it,Entendido,j'ai compris,Ich habs
20,hop in,hop in,subirse,Monter dedans,einsteigen
21,hug me,hug me,Abrázame,Donne moi un câlin,umarme mich
22,i fell,i fell,Me caí,je suis tombé,Ich fiel
23,i know,i know,sé,je sais,Ich weiss
24,i left,i left,me fui,Je suis parti,Ich ging weg
25,i lied,i lied,mentí,j'ai menti,ich habe gelogen
26,i lost,i lost,perdí,J'ai perdu,Ich habe verloren
27,i paid,i paid,He pagado,j'ai payé,ich habe bezahlt
28,i'm 19,i am 19,tengo 19 años,j'ai 19 ans,ich bin 19
29,i'm ok,i am ok,estoy bien,je vais bien,ich bin ok
30,listen,listen,escuchar,Ecoutez,Hören
31,no way,no way,de ninguna manera,certainement pas,auf keinen Fall
32,really,really,De Verdad,vraiment,Ja wirklich
33,thanks,thanks,Gracias,Merci,Danke
34,we try,we try,intentamos,nous essayons,wir versuchen
35,we won,we won,ganamos,Nous avons gagné,wir haben gewonnen
36,ask tom,ask tom,pregúntale a tom,demander à tom,frag tom
37,awesome,awesome,increíble,impressionnant,fantastisch
38,be calm,be calm,Estate calmado,sois calme,ruhig sein
39,be cool,be cool,Relájate,soit cool,sei cool
40,be fair,be fair,Sé justo,être juste,sei fair
41,be kind,be kind,se amable,etre gentil,sei freundlich
42,be nice,be nice,se bueno,sois gentil,sei nett
43,beat it,beat it,batirlo,batte-le,Mach dich vom Acker
44,call me,call me,llámame,appelez-moi,Ruf mich an
45,call us,call us,llámanos,appelez-nous,Rufen Sie uns an
46,come in,come in,Adelante,Entrez,Komm herein
47,come on,come on,vamos,allez,aufleuchten
48,drop it,drop it,Déjalo caer,laisse tomber,Lass es fallen
49,get tom,get tom,conseguir a tom,obtenir tom,Tom bekommen
50,get out,get out,Sal,Sortez,geh raus
51,go away,go away,vete,s'en aller,Geh weg
52,go home,go home,Vete a casa,rentrer chez soi,nach Hause gehen
53,go slow,go slow,ve lento,va lentement,mach langsam
54,goodbye,goodbye,adiós,au revoir,Auf Wiedersehen
55,hang on,hang on,Aférrate,attendez,abwarten
56,he quit,he quit,El lo dejó,il quitte,er hat gekündigt
57,he runs,he runs,el corre,il court,er rennt
58,help me,help me,ayúdame,aide-moi,Hilf mir
59,help us,help us,Ayúdanos,Aidez nous,Hilf uns
60,hold it,hold it,aguantalo,Le tenir,halte es
61,hold on,hold on,esperar,tenir,festhalten
62,hug tom,hug tom,abrazo tom,câlin à tom,Umarmung Tom
63,i agree,i agree,estoy de acuerdo,Je suis d'accord,Ich stimme zu
64,i cried,i cried,lloré,j'ai pleuré,Ich heulte
65,i dozed,i dozed,dormitaba,je me suis assoupi,ich döste
66,i drive,i drive,conduzco,je conduis,ich fahre
67,i smoke,i smoke,yo fumo,je fume,ich rauche
68,i snore,i snore,yo ronco,je ronfle,ich schnarche
69,i stink,i stink,Apesto,je pue,ich stinke
70,i stood,i stood,Me paré,je me tenais,ich stand
71,i swore,i swore,lo jure,j'ai juré,Ich schwor
72,i tried,i tried,Lo intenté,j'ai essayé,Ich habe es versucht
73,i waved,i waved,Saludé,j'ai fait signe,ich winkte
74,i'll go,i will go,Voy a ir,j'irai,ich werde gehen
75,i'm tom,i am tom,soy Tom,Je suis Tom,ich bin Tom
76,i'm fat,i am fat,Estoy gordo,je suis gros,ich bin fett
77,i'm fit,i am fit,estoy en forma,je suis en forme,Ich bin fit
78,i'm hit,i am hit,estoy golpeado,je suis touché,ich bin getroffen
79,i'm ill,i am ill,estoy enfermo,je suis malade,ich bin krank
80,i'm sad,i am sad,estoy triste,je suis triste,ich bin traurig
81,i'm shy,i am shy,soy tímido,je suis timide,ich bin schüchtern
82,i'm wet,i am wet,estoy mojado,je suis mouillé,ich bin nass
83,it's me,it is me,soy yo,c'est moi,ich bin es
84,join us,join us,Únete a nosotros,Rejoignez-nous,begleiten Sie uns
85,keep it,keep it,quédatelo,garde le,behalte es
86,kiss me,kiss me,Besame,embrasse-moi,Küss mich
87,"me, too",me  too,Yo también,Moi aussi,ich auch
88,open up,open up,abrir,S'ouvrir,aufmachen
89,perfect,perfect,Perfecto,parfait,perfekt
90,see you,see you,nos vemos,à plus tard,mach's gut
91,show me,show me,muéstrame,montre moi,zeig mir
92,shut up,shut up,callarse la boca,tais-toi,den Mund halten
93,skip it,skip it,Saltarlo,sauter,überspring es
94,so long,so long,hasta la vista,Si longtemps,so lange
95,take it,take it,tómalo,prends-le,Nimm es
96,tell me,tell me,dime,dites-moi,Sag mir
97,tom won,tom won,Tom ganó,tom a gagné,Tom hat gewonnen
98,wake up,wake up,despierta,réveillez-vous,Wach auf
99,wash up,wash up,Lavarse,laver,waschen
100,we know,we know,sabemos,nous savons,wir wissen
101,we lost,we lost,perdimos,nous avons perdu,wir verloren
102,welcome,welcome,bienvenidos,accueillir,willkommen
103,who won,who won,Quien ganó,qui a gagné,Wer gewann
104,you run,you run,tu corres,vous courez,Sie laufen
105,am i fat,am i fat,Soy gordo,Je suis gros,Bin ich fett
106,ask them,ask them,pregúntales,leur demander,Frag sie
107,back off,back off,Apártate,reculer,zieh dich zurück
108,be a man,be a man,sé un hombre,sois un homme,sei ein Mann
109,be still,be still,Estate quieto,être tranquille,sei ruhig
110,beats me,beats me,me gana,me bat,schlägt mich
111,call tom,call tom,llama a tom,appeler tom,ruf tom an
112,cheer up,cheer up,animar,réconforter,aufheitern
113,cool off,cool off,refrescarse,se rafraîchir,beruhigen
114,cuff him,cuff him,esposarlo,le menotter,fessel ihn
115,drive on,drive on,conducir en,conduire sur,weiterfahren
116,find tom,find tom,encuentra a tom,trouver tom,Tom finden
117,fix this,fix this,arregla esto,répare ça,repariere das
118,get down,get down,bajar,descendre,runterkommen
119,get lost,get lost,Piérdase,Aller se faire cuire un œuf,Hau ab
120,get real,get real,ser realistas,devenir réel,real werden
121,go ahead,go ahead,avanzar,poursuivre,fortfahren
122,good job,good job,buen trabajo,bon travail,Gut gemacht
123,grab him,grab him,agarrarlo,attrape le,greife ihn
124,have fun,have fun,que te diviertas,s'amuser,habe Spaß
125,he tries,he tries,trata,il essaye,er versucht
126,he's wet,he is wet,el esta mojado,il est mouillé,er ist nass
127,help tom,help tom,ayuda tom,aide tom,hilf tom
128,"hi, guys",hi  guys,Hola tios,salut les gars,Hallo Leute
129,how cute,how cute,que lindo,comme c'est mignon,wie süß
130,how deep,how deep,que profundo,quelle est la profondeur,wie tief
131,how nice,how nice,Que agradable,comme c'est gentil,wie schön
132,hurry up,hurry up,darse prisa,Dépêchez-vous,Beeil dich
133,i did ok,i did ok,lo hice bien,j'ai bien fait,Ich habe es gut gemacht
134,i did it,i did it,lo hice,je l'ai fait,Ich habs geschafft
