,English,English_cleaned,Spanish,French,German
0,i think tom left,i think tom left,creo que tom se fue,Je pense que Tom est parti,"Ich glaube, Tom ist gegangen"
1,i think it's tom,i think it is tom,creo que es tom,je pense que c'est tom,"Ich glaube, es ist Tom"
2,i took a picture,i took a picture,tomé una foto,J'ai pris une photo,Ich habe ein Bild gemacht
3,i took the money,i took the money,tomé el dinero,j'ai pris l'argent,Ich habe das Geld genommen
4,i totally forgot,i totally forgot,lo olvidé totalmente,j'ai complètement oublié,ich hab es total vergessen
5,i tried to do it,i tried to do it,traté de hacerlo,j'ai essayé de le faire,"Ich habe versucht, es zu tun"
6,i truly hope not,i truly hope not,Realmente espero que no,j'espère vraiment que non,Ich hoffe wirklich nicht
7,i understand why,i understand why,entiendo porque,je comprends pourquoi,ich verstehe warum
8,i understand you,i understand you,te entiendo,je te comprends,Ich verstehe dich
9,i used to be fat,i used to be fat,solia ser gordo,j'étais gros,Ich war mal dick
10,i visited boston,i visited boston,visité boston,j'ai visité boston,Ich habe Boston besucht
11,i waited a month,i waited a month,esperé un mes,j'ai attendu un mois,Ich habe einen Monat gewartet
12,i waited a while,i waited a while,esperé un rato,j'ai attendu un moment,Ich habe eine Weile gewartet
13,i walk every day,i walk every day,camino todos los días,je marche tous les jours,Ich gehe jeden Tag
14,i walk to school,i walk to school,yo camino a la escuela,j'ai marché jusqu'à l'école,ich gehe zur Schule
15,i want tom fired,i want tom fired,quiero que despidan a tom,je veux que Tom soit viré,"Ich möchte, dass Tom gefeuert wird"
16,i want a bicycle,i want a bicycle,quiero una bicicleta,je veux un vélo,Ich möchte ein Fahrrad
17,i want a blanket,i want a blanket,quiero una manta,je veux une couverture,Ich möchte eine Decke
18,i want a divorce,i want a divorce,Quiero el divorcio,je veux un divorce,Ich will eine Scheidung
19,i want a martini,i want a martini,quiero un martini,je veux un martini,Ich möchte einen Martini
20,i want a pen pal,i want a pen pal,quiero un amigo por correspondencia,je veux un correspondant,Ich möchte einen Brieffreund
21,i want a raccoon,i want a raccoon,quiero un mapache,je veux un raton laveur,Ich möchte einen Waschbären
22,i want a rematch,i want a rematch,quiero una revancha,je veux une revanche,Ich will einen Rückkampf
23,i want a scooter,i want a scooter,quiero un patinete,je veux un scooter,Ich möchte einen Roller
24,i want ice cream,i want ice cream,quiero helado,je veux une glace,ich will Eis
25,i want much more,i want much more,quiero mucho más,je veux beaucoup plus,Ich will viel mehr
26,i want some help,i want some help,quiero ayuda,je veux de l'aide,Ich möchte etwas Hilfe
27,i want some milk,i want some milk,Quiero un poco de leche,je veux du lait,Ich möchte etwas Milch
28,i want that book,i want that book,quiero ese libro,je veux ce livre,ich will das buch
29,i want the facts,i want the facts,quiero los hechos,je veux les faits,Ich will die Fakten
30,i want to go out,i want to go out,Quiero salir,je veux sortir,ich will ausgehen
31,i want to resign,i want to resign,quiero renunciar,je veux démissionner,ich möchte kündigen
32,i want to retire,i want to retire,quiero jubilarme,je veux prendre ma retraite,Ich möchte in Rente gehen
33,i want to scream,i want to scream,quiero gritar,je veux crier,Ich will schreien
34,i want to see it,i want to see it,Quiero verlo,je veux le voir,ich will es sehen
35,i want to try it,i want to try it,Quiero intentarlo,je veux l'essayer,ich möchte es probieren
36,i want us to win,i want us to win,quiero que ganemos,je veux que nous gagnions,"Ich will, dass wir gewinnen"
37,i want vengeance,i want vengeance,quiero venganza,je veux me venger,Ich will Rache
38,i want you to go,i want you to go,quiero que vayas,Je veux que tu partes,"Ich möchte, dass du gehst"
39,i want your love,i want your love,quiero tu amor,je veux ton amour,Ich will deine Liebe
40,i wanted to come,i wanted to come,quería venir,je voulais venir,ich wollte kommen
41,i wanted to quit,i wanted to quit,quería dejar de fumar,je voulais arrêter,ich wollte aufhören
42,i was 13 in 2003,i was 13 in 2003,tenía 13 años en 2003,j'avais 13 ans en 2003,2003 war ich 13
43,i was a criminal,i was a criminal,yo era un criminal,j'étais un criminel,Ich war ein Verbrecher
44,i was astonished,i was astonished,Estaba sorprendido,j'étais stupéfait,Ich war erstaunt
45,i was born there,i was born there,yo nací allí,je suis né là-bas,Ich bin dort geboren
46,i was devastated,i was devastated,estaba devastado,j'étais dévasté,Ich war am Boden zerstört
47,i was distracted,i was distracted,estaba distraido,j'étais distrait,Ich war abgelenkt
48,i was dumbstruck,i was dumbstruck,estaba estupefacto,j'étais abasourdi,Ich war sprachlos
49,i was frightened,i was frightened,estaba asustado,j'étais effrayé,Ich hatte Angst
50,i was frustrated,i was frustrated,estaba frustrado,j'étais frustré,Ich war frustriert
51,i was happy then,i was happy then,yo era feliz entonces,j'étais heureux alors,da war ich glücklich
52,i was having fun,i was having fun,Me estaba divirtiendo,je m'amusais,i hatte Spaß
53,i was here first,i was here first,yo estaba aqui primero,j'étais ici en premier,Ich war hier als erstes
54,i was humiliated,i was humiliated,fui humillado,j'ai été humilié,Ich wurde gedemütigt
55,i was in all day,i was in all day,estuve todo el dia,j'étais toute la journée,Ich war den ganzen Tag drin
56,i was just angry,i was just angry,solo estaba enojado,j'étais juste en colère,ich war nur sauer
57,i was on the bus,i was on the bus,yo estaba en el autobús,j'étais dans le bus,Ich war im Bus
58,i was overweight,i was overweight,tenía sobrepeso,j'étais en surpoids,Ich war übergewichtig
59,i was quite calm,i was quite calm,yo estaba bastante tranquilo,j'étais assez calme,ich war ganz ruhig
60,i was so unhappy,i was so unhappy,estaba tan infeliz,j'étais si malheureux,Ich war so unglücklich
61,i was speechless,i was speechless,Estaba sin palabras,j'étais sans voix,ich war sprachlos
62,i was sure of it,i was sure of it,estaba seguro de ello,j'en étais sûr,ich war mir sicher
63,i was threatened,i was threatened,me amenazaron,j'ai été menacé,ich wurde bedroht
64,i was unprepared,i was unprepared,no estaba preparado,je n'étais pas préparé,Ich war unvorbereitet
65,i was very lucky,i was very lucky,Tuve mucha suerte,j'ai eu beaucoup de chance,ich war sehr glücklich
66,i was very proud,i was very proud,estaba muy orgulloso,j'étais très fier,Ich war sehr stolz
67,i was very tired,i was very tired,estuve muy cansado,j'étais très fatigué,ich war sehr müde
68,i washed my feet,i washed my feet,me lavé los pies,je me suis lavé les pieds,Ich habe meine Füße gewaschen
69,i washed the dog,i washed the dog,lavé al perro,j'ai lavé le chien,Ich habe den Hund gewaschen
70,i wasn't in love,i was not in love,yo no estaba enamorado,je n'étais pas amoureux,Ich war nicht verliebt
71,i wasn't invited,i was not invited,no fui invitado,je n'ai pas été invité,ich wurde nicht eingeladen
72,i wasn't kidding,i was not kidding,no estaba bromeando,je ne plaisantais pas,Ich habe nicht gescherzt
73,i wasn't serious,i was not serious,no hablaba en serio,je n'étais pas sérieux,Ich war nicht ernst
74,i waved him back,i waved him back,le devolví el saludo,je lui ai fait signe de revenir,Ich winkte ihn zurück
75,i went to school,i went to school,Fui a la escuela,Je suis allé à l'école,Ich ging zur Schule
76,i will shoot him,i will shoot him,le dispararé,je vais lui tirer dessus,Ich werde ihn erschießen
77,i will teach you,i will teach you,te enseñare,Je vais t'apprendre,Ich werde dich lehren
78,i will translate,i will translate,yo traduciré,je vais traduire,Ich werde übersetzen
79,i will try again,i will try again,lo intentaré otra vez,Je vais réessayer,Ich werde es nochmal versuchen
80,i wish them luck,i wish them luck,les deseo suerte,je leur souhaite bonne chance,Ich wünsche ihnen Glück
81,i won the raffle,i won the raffle,gané la rifa,j'ai gagné le tirage au sort,Ich habe die Verlosung gewonnen
82,i won't be quiet,i will not be quiet,no me quedaré callado,je ne serai pas tranquille,Ich werde nicht schweigen
83,i won't eat that,i will not eat that,no comeré eso,je ne mangerai pas ça,ich werde das nicht essen
84,i won't need you,i will not need you,no te necesitaré,je n'aurai pas besoin de toi,Ich werde dich nicht brauchen
85,i won't tell tom,i will not tell tom,no le diré a tom,je ne le dirai pas,Ich werde es Tom nicht sagen
86,i work at a bank,i work at a bank,Trabajo en un banco,je travaille dans une banque,Ich arbeite in einer Bank
87,i work full time,i work full time,trabajo a tiempo completo,je travaille à plein temps,Ich arbeite Vollzeit
88,i work in a bank,i work in a bank,yo trabajo en un banco,je travaille dans une banque,Ich arbeite in einer Bank
89,i work on monday,i work on monday,trabajo el lunes,je travaille le lundi,Ich arbeite am Montag
90,i work on sunday,i work on sunday,trabajo los domingos,je travaille le dimanche,ich arbeite sonntags
91,i work on a farm,i work on a farm,trabajo en una granja,je travaille dans une ferme,Ich arbeite auf einem Bauernhof
92,i worry too much,i worry too much,me preocupo demasiado,je m'inquiète trop,Ich mache mir zu viele Sorgen
93,i would complain,i would complain,me quejaría,je me plaindrais,ich würde reklamieren
94,i wrote the book,i wrote the book,yo escribi el libro,j'ai écrit le livre,Ich habe das Buch geschrieben
95,i wrote the note,i wrote the note,escribí la nota,j'ai écrit la note,Ich habe die Notiz geschrieben
96,i'd be delighted,i would be delighted,Estaría encantado,Je serais ravi,Ich würde mich freuen
97,i'd have said no,i would have said no,hubiera dicho que no,j'aurais dit non,ich hätte nein gesagt
98,i'd like a raise,i would like a raise,me gustaria un aumento,je voudrais une augmentation,Ich möchte eine Gehaltserhöhung
99,i'd love to stay,i would love to stay,me encantaría quedarme,j'aimerais rester,Ich würde gerne bleiben
100,i'll be at tom's,i will be at tom s,estaré en tom s,je serai à toms,ich werde bei tom s sein
101,i'll be discreet,i will be discreet,seré discreto,je serai discret,Ich werde diskret sein
102,i'll be in touch,i will be in touch,estaré en contacto,je resterai en contact,ich werde in Kontakt bleiben
103,i'll beat you up,i will beat you up,te golpearé,je vais te battre,ich werde dich zusammenschlagen
104,i'll bring lunch,i will bring lunch,traeré el almuerzo,j'apporterai le déjeuner,Ich bringe das Mittagessen mit
105,i'll check again,i will check again,Revisaré nuevamente,je vais revérifier,Ich werde es erneut prüfen
106,i'll clean it up,i will clean it up,lo limpiaré,je vais le nettoyer,Ich werde es aufräumen
107,i'll come by car,i will come by car,vendré en coche,je viendrai en voiture,Ich komme mit dem Auto
108,i'll demonstrate,i will demonstrate,voy a demostrar,je vais démontrer,Ich werde demonstrieren
109,i'll do anything,i will do anything,haré lo que sea,je ferai n'importe quoi,Ich werde alles tun
110,i'll fix a drink,i will fix a drink,voy a preparar una bebida,je vais préparer un verre,Ich mache einen Drink
111,i'll forgive you,i will forgive you,te perdonaré,Je vais te pardonner,ich werde dir vergeben
112,i'll get my coat,i will get my coat,conseguiré mi abrigo,je vais chercher mon manteau,Ich hole meinen Mantel
113,i'll get my keys,i will get my keys,conseguiré mis llaves,je vais chercher mes clés,Ich bekomme meine Schlüssel
114,i'll get the car,i will get the car,conseguiré el coche,je vais chercher la voiture,Ich werde das Auto bekommen
115,i'll gladly come,i will gladly come,con gusto vendré,je viendrai avec plaisir,ich komme gerne
116,i'll go by plane,i will go by plane,iré en avión,je vais prendre l'avion,Ich werde mit dem Flugzeug fliegen
117,i'll go in first,i will go in first,entraré primero,je vais entrer en premier,Ich gehe zuerst hinein
